,entire,apparel,automotive,baby_product,beauty,book,camera,digital_ebook_purchase,digital_video_download,drugstore,electronics,furniture,grocery,home,home_improvement,industrial_supplies,jewelry,kitchen,lawn_and_garden,luggage,musical_instruments,office_product,other,pc,personal_care_appliances,pet_products,shoes,sports,toy,video_games,watch
0,0.4662,0.43167701863354035,0.4222560975609756,0.3922518159806295,0.4104899497487437,0.4259634888438134,0.39215686274509803,0.41346153846153844,0.356353591160221,0.41212710765239946,0.46134969325153374,0.39948453608247425,0.4369951534733441,0.4423608976329542,0.4020234291799787,0.3471698113207547,0.43983402489626555,0.450476889214967,0.4267151767151767,0.4040114613180516,0.40625,0.4037396121883656,0.420873511060692,0.4257602862254025,0.3,0.39289558665231433,0.394273127753304,0.41009174311926605,0.4602346805736636,0.33014354066985646,0.43147208121827413
1,0.4662,0.43167701863354035,0.4222560975609756,0.3922518159806295,0.4104899497487437,0.4259634888438134,0.39215686274509803,0.41346153846153844,0.356353591160221,0.41212710765239946,0.46134969325153374,0.39948453608247425,0.4369951534733441,0.4423608976329543,0.4020234291799787,0.3471698113207547,0.43983402489626555,0.45047688921496704,0.4267151767151767,0.4040114613180516,0.40625,0.4037396121883656,0.420873511060692,0.4257602862254025,0.3,0.39289558665231433,0.3942731277533039,0.41009174311926605,0.4602346805736636,0.33014354066985646,0.43147208121827413
2,0.28259999999999996,0.20047934970293535,0.16778612964492678,0.10504572690003144,0.12078463266119609,0.1022956040681896,0.0838146765935901,-0.09157576559515057,-0.05936454849498318,0.15175135202426882,0.30833548689743523,0.11655860686526874,0.2438189504932331,0.24898131535836932,0.1394364146360979,0.010961797472763268,0.22209576563170585,0.2302772368689987,0.12887218176272464,0.10586994197875066,0.02290809739694366,0.14862658991351463,0.13654449481690478,0.20875622627695878,-1.0583717357910905,0.05061507221991901,0.1099256959006899,0.17048309261807115,0.3453985827109829,-0.20279258455587512,0.19187690756867246
4,0.4562,0.4340659340659341,0.4303861788617886,0.387409200968523,0.41708542713567837,0.4462474645030426,0.39215686274509803,0.4592760180995475,0.3839779005524862,0.42282749675745784,0.4539877300613497,0.4175257731958763,0.4483037156704362,0.4455886873655088,0.4174653887113951,0.35283018867924526,0.41217150760719223,0.4512105649303008,0.4282744282744283,0.42120343839541546,0.3715277777777778,0.43213296398891965,0.42030629608621667,0.43768634466308887,0.25,0.38805166846071043,0.40969162995594716,0.4188073394495413,0.4624076488483268,0.35406698564593303,0.3248730964467005
5,0.4562,0.4340659340659341,0.43038617886178854,0.387409200968523,0.4170854271356784,0.4462474645030426,0.39215686274509803,0.4592760180995475,0.3839779005524862,0.42282749675745784,0.4539877300613497,0.4175257731958763,0.4483037156704362,0.4455886873655088,0.4174653887113951,0.35283018867924526,0.41217150760719223,0.4512105649303009,0.4282744282744283,0.42120343839541546,0.3715277777777778,0.43213296398891965,0.42030629608621667,0.43768634466308887,0.25,0.3880516684607104,0.40969162995594716,0.41880733944954124,0.4624076488483268,0.35406698564593303,0.3248730964467005
6,0.229,0.3012404734337838,0.13657506155074295,0.09326185220224947,0.1433368187253714,0.1489424881022361,0.06628002925566845,0.16932409298786788,0.09796682009338076,0.11116750730576462,0.2519606796648306,0.2063532754403392,0.22907139223859105,0.2502799948049066,0.13428179597563727,0.004187563208878142,0.22862059145585734,0.19832314968397313,0.15241617685021858,0.1535349634541482,0.09900021016603122,0.14896164438422954,0.14864901124470517,0.16406430442190956,-1.3348694316436247,0.04583581732733344,0.23658512819845476,0.18445194314934132,0.3268163489298752,-0.25701684041700057,0.23324839694228997
8,0.3306,0.29479216435738176,0.3282520325203252,0.3365617433414044,0.3228643216080402,0.3772819472616633,0.34759358288770054,0.3184389140271493,0.27624309392265195,0.324254215304799,0.33496932515337424,0.32989690721649484,0.31906300484652667,0.3335382723639717,0.32055378061767836,0.32264150943396225,0.34024896265560167,0.34556126192223036,0.31652806652806653,0.3667621776504298,0.375,0.3337950138504155,0.32359614293817357,0.31723315444245676,0.25,0.3186221743810549,0.29809104258443464,0.3467889908256881,0.34419817470664926,0.28708133971291866,0.2639593908629442
9,0.3306,0.29479216435738176,0.3282520325203252,0.3365617433414044,0.3228643216080402,0.37728194726166336,0.34759358288770054,0.3184389140271493,0.27624309392265195,0.324254215304799,0.33496932515337424,0.32989690721649484,0.31906300484652667,0.3335382723639717,0.32055378061767836,0.32264150943396225,0.34024896265560167,0.34556126192223036,0.31652806652806653,0.36676217765042984,0.375,0.3337950138504155,0.32359614293817357,0.31723315444245676,0.25,0.3186221743810549,0.29809104258443464,0.3467889908256881,0.34419817470664926,0.28708133971291866,0.2639593908629442
10,-0.055800000000000065,-0.26307772022109255,0.05757204543734018,-0.15419951645117225,-0.12409052240442309,0.10874676888140877,-0.0731204170808093,-0.545294784111678,-0.3021043743170302,-0.03265052797045542,-0.04221851746774563,-0.1196704443091472,-0.11159720344363833,-0.022442688967916347,-0.00592383158889187,0.08801871222445723,0.07129979102909145,0.03784654608624838,-0.06423867156129459,-0.07328479391153642,0.03674302699132326,0.06620319011765663,-0.05114507600036822,-0.062206117548622604,-0.4132104454685097,-0.13886832763906076,-0.19007992189674616,0.04685876541632983,0.05293956240605102,-0.3506769187225811,-0.2025312911264805
12,0.2484,0.24271380793119923,0.25558943089430897,0.22639225181598063,0.27041457286432163,0.2150101419878296,0.2638146167557932,0.166289592760181,0.27624309392265195,0.2529182879377432,0.27423312883435585,0.23324742268041238,0.29079159935379645,0.25222871195819246,0.2566560170394036,0.2339622641509434,0.2475795297372061,0.2443140132061629,0.2733887733887734,0.1833810888252149,0.22569444444444445,0.2548476454293629,0.26176971072036304,0.2844364937388193,0.5,0.25511302475780406,0.23715124816446403,0.23577981651376148,0.26119078661451545,0.3062200956937799,0.27411167512690354
