,entire,apparel,automotive,baby_product,beauty,book,camera,digital_ebook_purchase,digital_video_download,drugstore,electronics,furniture,grocery,home,home_improvement,industrial_supplies,jewelry,kitchen,lawn_and_garden,luggage,musical_instruments,office_product,other,pc,personal_care_appliances,pet_products,shoes,sports,toy,video_games,watch
0,0.4662,0.43167701863354035,0.4222560975609756,0.3922518159806295,0.4104899497487437,0.4259634888438134,0.39215686274509803,0.41346153846153844,0.356353591160221,0.41212710765239946,0.46134969325153374,0.39948453608247425,0.4369951534733441,0.4423608976329542,0.4020234291799787,0.3471698113207547,0.43983402489626555,0.450476889214967,0.4267151767151767,0.4040114613180516,0.40625,0.4037396121883656,0.420873511060692,0.4257602862254025,0.3,0.39289558665231433,0.394273127753304,0.41009174311926605,0.4602346805736636,0.33014354066985646,0.43147208121827413
1,0.4662,0.43167701863354035,0.4222560975609756,0.3922518159806295,0.4104899497487437,0.4259634888438134,0.39215686274509803,0.41346153846153844,0.356353591160221,0.41212710765239946,0.46134969325153374,0.39948453608247425,0.4369951534733441,0.4423608976329543,0.4020234291799787,0.3471698113207547,0.43983402489626555,0.45047688921496704,0.4267151767151767,0.4040114613180516,0.40625,0.4037396121883656,0.420873511060692,0.4257602862254025,0.3,0.39289558665231433,0.3942731277533039,0.41009174311926605,0.4602346805736636,0.33014354066985646,0.43147208121827413
2,0.28259999999999996,0.20047934970293535,0.16778612964492678,0.10504572690003144,0.12078463266119609,0.1022956040681896,0.0838146765935901,-0.09157576559515057,-0.05936454849498318,0.15175135202426882,0.30833548689743523,0.11655860686526874,0.2438189504932331,0.24898131535836932,0.1394364146360979,0.010961797472763268,0.22209576563170585,0.2302772368689987,0.12887218176272464,0.10586994197875066,0.02290809739694366,0.14862658991351463,0.13654449481690478,0.20875622627695878,-1.0583717357910905,0.05061507221991901,0.1099256959006899,0.17048309261807115,0.3453985827109829,-0.20279258455587512,0.19187690756867246
3,"{0: 0.4662, 1: 0.358, 2: 0.1246, 3: 0.0344, 4: 0.0168}","{0: 0.43167701863354035, 1: 0.40062111801242234, 2: 0.1230291447682752, 3: 0.034400382226469184, 4: 0.010272336359292882}","{0: 0.4222560975609756, 1: 0.36585365853658536, 2: 0.14329268292682926, 3: 0.043191056910569105, 4: 0.02540650406504065}","{0: 0.3922518159806295, 1: 0.38619854721549635, 2: 0.15375302663438256, 3: 0.048426150121065374, 4: 0.01937046004842615}","{0: 0.4104899497487437, 1: 0.37751256281407036, 2: 0.13819095477386933, 3: 0.05496231155778895, 4: 0.018844221105527637}","{0: 0.4259634888438134, 1: 0.3407707910750507, 2: 0.15517241379310345, 3: 0.0537525354969574, 4: 0.02434077079107505}","{0: 0.39215686274509803, 1: 0.36363636363636365, 2: 0.1622103386809269, 3: 0.0659536541889483, 4: 0.016042780748663103}","{0: 0.41346153846153844, 1: 0.4343891402714932, 2: 0.10633484162895927, 3: 0.034502262443438916, 4: 0.011312217194570135}","{0: 0.356353591160221, 1: 0.38950276243093923, 2: 0.17955801104972377, 3: 0.049723756906077346, 4: 0.024861878453038673}","{0: 0.41212710765239946, 1: 0.3654345006485084, 2: 0.14559014267185474, 3: 0.05642023346303502, 4: 0.020428015564202335}","{0: 0.46134969325153374, 1: 0.3570552147239264, 2: 0.12576687116564417, 3: 0.03865030674846626, 4: 0.01717791411042945}","{0: 0.39948453608247425, 1: 0.3943298969072165, 2: 0.13659793814432988, 3: 0.05798969072164949, 4: 0.011597938144329897}","{0: 0.4369951534733441, 1: 0.36995153473344106, 2: 0.11954765751211632, 3: 0.05250403877221325, 4: 0.0210016155088853}","{0: 0.4423608976329542, 1: 0.3719643406086689, 2: 0.1304949277589917, 3: 0.03796495542576084, 4: 0.017214878573624345}","{0: 0.4020234291799787, 1: 0.3753993610223642, 2: 0.15069222577209798, 3: 0.05005324813631523, 4: 0.021831735889243878}","{0: 0.3471698113207547, 1: 0.39245283018867927, 2: 0.14339622641509434, 3: 0.09056603773584905, 4: 0.026415094339622643}","{0: 0.43983402489626555, 1: 0.37344398340248963, 2: 0.1313969571230982, 3: 0.042876901798063624, 4: 0.012448132780082987}","{0: 0.450476889214967, 1: 0.3547322083639032, 2: 0.12839325018341893, 3: 0.04732208363903155, 4: 0.019075568598679385}","{0: 0.4267151767151767, 1: 0.34407484407484407, 2: 0.1496881496881497, 3: 0.058212058212058215, 4: 0.02130977130977131}","{0: 0.4040114613180516, 1: 0.38968481375358166, 2: 0.15759312320916904, 3: 0.034383954154727794, 4: 0.014326647564469915}","{0: 0.40625, 1: 0.3715277777777778, 2: 0.13541666666666666, 3: 0.04861111111111111, 4: 0.03819444444444445}","{0: 0.4037396121883656, 1: 0.37119113573407203, 2: 0.15166204986149584, 3: 0.05609418282548476, 4: 0.01731301939058172}","{0: 0.420873511060692, 1: 0.3581962563811685, 2: 0.14946114577424843, 3: 0.048496880317640385, 4: 0.02297220646625071}","{0: 0.4257602862254025, 1: 0.3643410852713178, 2: 0.1383422778771616, 3: 0.054859868813357186, 4: 0.016696481812760882}","{0: 0.3, 1: 0.35, 2: 0.1, 3: 0.2, 4: 0.05}","{0: 0.39289558665231433, 1: 0.3638320775026911, 2: 0.1727664155005382, 3: 0.052206673842841764, 4: 0.01829924650161464}","{0: 0.394273127753304, 1: 0.4199706314243759, 2: 0.13656387665198239, 3: 0.03450807635829662, 4: 0.014684287812041116}","{0: 0.41009174311926605, 1: 0.3912844036697248, 2: 0.13394495412844037, 3: 0.046788990825688076, 4: 0.017889908256880735}","{0: 0.4602346805736636, 1: 0.3754889178617992, 2: 0.11777488048674489, 3: 0.034767492394611035, 4: 0.011734028683181226}","{0: 0.33014354066985646, 1: 0.3444976076555024, 2: 0.23444976076555024, 3: 0.05741626794258373, 4: 0.03349282296650718}","{0: 0.43147208121827413, 1: 0.350253807106599, 2: 0.17258883248730963, 3: 0.04060913705583756, 4: 0.005076142131979695}"
4,0.4562,0.4340659340659341,0.4303861788617886,0.387409200968523,0.41708542713567837,0.4462474645030426,0.39215686274509803,0.4592760180995475,0.3839779005524862,0.42282749675745784,0.4539877300613497,0.4175257731958763,0.4483037156704362,0.4455886873655088,0.4174653887113951,0.35283018867924526,0.41217150760719223,0.4512105649303008,0.4282744282744283,0.42120343839541546,0.3715277777777778,0.43213296398891965,0.42030629608621667,0.43768634466308887,0.25,0.38805166846071043,0.40969162995594716,0.4188073394495413,0.4624076488483268,0.35406698564593303,0.3248730964467005
5,0.4562,0.4340659340659341,0.43038617886178854,0.387409200968523,0.4170854271356784,0.4462474645030426,0.39215686274509803,0.4592760180995475,0.3839779005524862,0.42282749675745784,0.4539877300613497,0.4175257731958763,0.4483037156704362,0.4455886873655088,0.4174653887113951,0.35283018867924526,0.41217150760719223,0.4512105649303009,0.4282744282744283,0.42120343839541546,0.3715277777777778,0.43213296398891965,0.42030629608621667,0.43768634466308887,0.25,0.3880516684607104,0.40969162995594716,0.41880733944954124,0.4624076488483268,0.35406698564593303,0.3248730964467005
6,0.229,0.3012404734337838,0.13657506155074295,0.09326185220224947,0.1433368187253714,0.1489424881022361,0.06628002925566845,0.16932409298786788,0.09796682009338076,0.11116750730576462,0.2519606796648306,0.2063532754403392,0.22907139223859105,0.2502799948049066,0.13428179597563727,0.004187563208878142,0.22862059145585734,0.19832314968397313,0.15241617685021858,0.1535349634541482,0.09900021016603122,0.14896164438422954,0.14864901124470517,0.16406430442190956,-1.3348694316436247,0.04583581732733344,0.23658512819845476,0.18445194314934132,0.3268163489298752,-0.25701684041700057,0.23324839694228997
7,"{0: 0.4562, 1: 0.3574, 2: 0.1252, 3: 0.0422, 4: 0.019}","{0: 0.4340659340659341, 1: 0.4228380315336837, 2: 0.110606784519828, 3: 0.027233635929288104, 4: 0.005255613951266125}","{0: 0.4303861788617886, 1: 0.35721544715447157, 2: 0.13516260162601626, 3: 0.047764227642276426, 4: 0.029471544715447155}","{0: 0.387409200968523, 1: 0.38619854721549635, 2: 0.15617433414043583, 3: 0.05205811138014528, 4: 0.018159806295399514}","{0: 0.41708542713567837, 1: 0.37248743718592964, 2: 0.13662060301507536, 3: 0.059673366834170856, 4: 0.014133165829145729}","{0: 0.4462474645030426, 1: 0.31643002028397565, 2: 0.16531440162271804, 3: 0.055780933062880324, 4: 0.016227180527383367}","{0: 0.39215686274509803, 1: 0.3761140819964349, 2: 0.14260249554367202, 3: 0.0677361853832442, 4: 0.0213903743315508}","{0: 0.4592760180995475, 1: 0.43721719457013575, 2: 0.0752262443438914, 3: 0.02319004524886878, 4: 0.005090497737556561}","{0: 0.3839779005524862, 1: 0.39779005524861877, 2: 0.143646408839779, 3: 0.0718232044198895, 4: 0.0027624309392265192}","{0: 0.42282749675745784, 1: 0.3430609597924773, 2: 0.14915693904020752, 3: 0.061608300907911806, 4: 0.023346303501945526}","{0: 0.4539877300613497, 1: 0.3539877300613497, 2: 0.13006134969325153, 3: 0.03742331288343558, 4: 0.024539877300613498}","{0: 0.4175257731958763, 1: 0.4059278350515464, 2: 0.1172680412371134, 3: 0.04896907216494845, 4: 0.010309278350515464}","{0: 0.4483037156704362, 1: 0.3473344103392569, 2: 0.13570274636510501, 3: 0.04281098546042003, 4: 0.025848142164781908}","{0: 0.4455886873655088, 1: 0.3696587765139871, 2: 0.12588379956962803, 3: 0.04380571779895481, 4: 0.015063018751921304}","{0: 0.4174653887113951, 1: 0.369542066027689, 2: 0.13684771033013846, 3: 0.04952076677316294, 4: 0.026624068157614485}","{0: 0.35283018867924526, 1: 0.37924528301886795, 2: 0.15660377358490565, 3: 0.08113207547169811, 4: 0.03018867924528302}","{0: 0.41217150760719223, 1: 0.40525587828492393, 2: 0.13278008298755187, 3: 0.03734439834024896, 4: 0.012448132780082987}","{0: 0.4512105649303008, 1: 0.3459280997798973, 2: 0.1309611151870873, 3: 0.05062362435803375, 4: 0.02127659574468085}","{0: 0.4282744282744283, 1: 0.3523908523908524, 2: 0.14189189189189189, 3: 0.057172557172557176, 4: 0.02027027027027027}","{0: 0.42120343839541546, 1: 0.38108882521489973, 2: 0.1489971346704871, 3: 0.04011461318051576, 4: 0.008595988538681949}","{0: 0.3715277777777778, 1: 0.3958333333333333, 2: 0.14583333333333334, 3: 0.0798611111111111, 4: 0.006944444444444444}","{0: 0.43213296398891965, 1: 0.3386426592797784, 2: 0.15373961218836565, 3: 0.0574792243767313, 4: 0.018005540166204988}","{0: 0.42030629608621667, 1: 0.36698808848553605, 2: 0.14095292115711855, 3: 0.04906409529211571, 4: 0.022688598979013045}","{0: 0.43768634466308887, 1: 0.345855694692904, 2: 0.1383422778771616, 3: 0.05366726296958855, 4: 0.024448419797257006}","{0: 0.25, 1: 0.35, 2: 0.1, 3: 0.25, 4: 0.05}","{0: 0.38805166846071043, 1: 0.3713670613562971, 2: 0.1668460710441335, 3: 0.05597416576964478, 4: 0.01776103336921421}","{0: 0.40969162995594716, 1: 0.42584434654919234, 2: 0.12701908957415564, 3: 0.033773861967694566, 4: 0.003671071953010279}","{0: 0.4188073394495413, 1: 0.38990825688073394, 2: 0.12660550458715597, 3: 0.0463302752293578, 4: 0.01834862385321101}","{0: 0.4624076488483268, 1: 0.3720121686223381, 2: 0.11603650586701435, 3: 0.034767492394611035, 4: 0.01477618426770969}","{0: 0.35406698564593303, 1: 0.3492822966507177, 2: 0.16267942583732056, 3: 0.10047846889952153, 4: 0.03349282296650718}","{0: 0.3248730964467005, 1: 0.4720812182741117, 2: 0.17766497461928935, 3: 0.025380710659898477, 4: 0.0}"
8,0.3306,0.29479216435738176,0.3282520325203252,0.3365617433414044,0.3228643216080402,0.3772819472616633,0.34759358288770054,0.3184389140271493,0.27624309392265195,0.324254215304799,0.33496932515337424,0.32989690721649484,0.31906300484652667,0.3335382723639717,0.32055378061767836,0.32264150943396225,0.34024896265560167,0.34556126192223036,0.31652806652806653,0.3667621776504298,0.375,0.3337950138504155,0.32359614293817357,0.31723315444245676,0.25,0.3186221743810549,0.29809104258443464,0.3467889908256881,0.34419817470664926,0.28708133971291866,0.2639593908629442
9,0.3306,0.29479216435738176,0.3282520325203252,0.3365617433414044,0.3228643216080402,0.37728194726166336,0.34759358288770054,0.3184389140271493,0.27624309392265195,0.324254215304799,0.33496932515337424,0.32989690721649484,0.31906300484652667,0.3335382723639717,0.32055378061767836,0.32264150943396225,0.34024896265560167,0.34556126192223036,0.31652806652806653,0.36676217765042984,0.375,0.3337950138504155,0.32359614293817357,0.31723315444245676,0.25,0.3186221743810549,0.29809104258443464,0.3467889908256881,0.34419817470664926,0.28708133971291866,0.2639593908629442
